mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,1;10;;0;0;0;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,1;10;;1;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,58708;10;;0;0;0;0;2;11;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
None;41,05093;10;;0;0;0;0;2;14;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
None;51,52013;10;;0;0;0;0;2;17;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
None;61,86264;10;;0;0;0;0;2;20;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
None;71,86264;10;;0;0;0;0;2;20;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
None;81,86264;10;;0;0;0;0;1;20;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;91,86264;10;;0;0;0;0;1;20;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;101,8626;10;;0;0;0;0;1;20;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;111,8626;10;;0;0;0;0;1;20;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;121,8626;10;;0;0;0;0;1;20;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;131,8626;10;;0;0;0;0;1;20;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;142,3131;10;;0;0;0;0;1;20;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;152,3131;10;;0;0;0;0;1;20;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
None;162,3131;10;;0;0;0;0;1;22;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
None;172,3131;10;;0;0;0;0;1;22;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0
None;182,3131;10;;0;0;0;0;1;22;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;192,3131;10;;0;0;0;0;1;22;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;202,3131;10;;0;0;0;0;1;22;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;212,3131;10;;0;0;0;0;1;22;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;222,3131;10;;0;0;0;0;1;22;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;232,3131;10;;0;0;0;0;1;22;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;242,3131;10;;0;0;0;0;1;22;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;252,3131;10;;0;0;0;0;1;22;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;262,3131;10;;0;0;0;0;1;22;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;272,3131;10;;0;0;0;0;1;22;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;282,3131;10;;0;0;0;0;1;22;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;292,3131;10;;0;0;0;0;1;22;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;302,3131;10;;0;0;0;0;1;22;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;312,7524;10;;0;0;0;0;1;22;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;322,7524;10;;0;0;0;0;1;22;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;332,7524;10;;0;0;0;0;1;22;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;342,7524;10;;0;0;0;0;1;22;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0
