mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,24609;10;;0;0;0;2;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,61092;10;;1;0;0;1;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;31,03404;10;;2;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;41,03404;10;;2;0;0;1;1;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;51,03404;10;;3;0;0;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;61,03404;10;;2;0;0;0;1;4;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;71,03404;10;;2;0;0;0;1;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;81,03404;10;;2;0;0;0;1;4;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;91,03404;10;;1;0;0;0;1;4;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
None;101,034;10;;1;0;0;0;1;8;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
None;111,034;10;;1;0;0;0;1;6;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
None;121,034;10;;1;0;0;0;1;9;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0
None;131,034;10;;0;0;0;0;1;9;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0
None;141,034;10;;0;0;0;0;1;13;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0
None;151,034;10;;0;0;0;0;1;13;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0
None;161,034;10;;0;0;0;0;1;17;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0
None;171,034;10;;0;0;0;0;1;16;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0
None;181,034;10;;0;0;0;0;1;20;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0
None;191,034;10;;0;0;0;0;1;20;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0
None;201,034;10;;0;0;0;0;1;20;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0
None;211,034;10;;0;0;0;0;1;20;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0
None;221,034;10;;0;0;0;0;1;20;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0
None;231,034;10;;0;0;0;0;1;20;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0
None;241,034;10;;0;0;0;0;1;20;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0
None;251,034;10;;0;0;0;0;1;20;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0
None;261,0341;10;;0;0;0;0;1;20;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0
None;271,0341;10;;0;0;0;0;0;20;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0
None;281,0341;10;;0;0;0;0;0;20;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;291,0341;10;;0;0;0;0;0;20;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;301,0341;10;;0;0;0;0;0;20;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;311,0341;10;;0;0;0;0;0;20;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;321,0341;10;;0;0;0;0;0;20;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;331,0341;10;;0;0;0;0;0;19;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;341,0341;10;;0;0;0;0;0;22;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;351,0341;10;;0;0;0;0;0;22;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;361,0341;10;;0;0;0;0;0;22;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;371,0341;10;;0;0;0;0;0;21;0;9;0;3;0;0;0;0;0;0;0;0;0;0;0
None;381,0341;10;;0;0;0;0;0;21;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
None;391,0341;10;;0;0;0;0;0;21;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
None;401,0341;10;;0;0;0;0;0;21;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
None;411,0341;10;;0;0;0;0;0;21;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
None;421,0341;10;;0;0;0;0;0;21;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
None;431,0341;10;;0;0;0;0;0;21;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
None;441,0341;10;;0;0;0;0;0;21;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
None;451,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;461,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;471,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;481,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;491,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;501,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;511,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;521,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;531,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;541,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;551,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;561,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;571,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;581,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
Monster;591,0341;10;;0;0;0;0;0;20;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
None;0;10;;0;0;0;0;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,24609;10;;0;0;0;2;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,61092;10;;1;0;0;1;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;31,03404;10;;2;0;0;1;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;41,03404;10;;3;0;0;0;2;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;51,03404;10;;3;0;0;0;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;61,03404;10;;1;0;0;0;2;4;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0
None;71,03404;10;;1;0;0;1;3;1;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0
None;81,03404;10;;2;0;0;2;2;3;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
None;91,03404;10;;3;0;0;0;2;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0
None;101,034;10;;3;0;0;0;2;3;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0
None;111,034;10;;3;0;0;0;2;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0
None;121,034;10;;3;0;0;1;1;3;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0
None;131,034;10;;3;0;0;1;1;1;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0
None;141,034;10;;4;0;0;0;0;3;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0
None;151,034;10;;3;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0
None;161,034;10;;3;0;0;0;0;3;0;7;0;4;0;0;0;0;0;0;0;0;0;0;0
None;171,034;10;;3;0;0;0;2;1;0;7;0;4;0;0;0;0;0;0;0;0;0;0;0
None;181,034;10;;3;0;0;0;2;5;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0
None;191,034;10;;3;0;0;0;2;3;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0
None;201,034;10;;3;0;0;1;3;3;0;9;0;4;0;0;0;0;0;0;0;0;0;0;0
None;211,034;10;;4;0;0;2;1;0;0;9;0;4;0;0;0;0;0;0;0;0;0;0;0
None;221,034;10;;5;0;0;1;1;4;0;9;0;4;0;0;0;0;0;0;0;0;0;0;0
None;231,034;10;;6;0;0;0;2;0;0;9;0;4;0;0;0;0;0;0;0;0;0;0;0
None;241,034;10;;6;0;0;0;2;4;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;251,034;10;;6;0;0;0;2;1;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;261,0341;10;;6;0;0;0;2;3;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;271,0341;10;;6;0;0;0;2;1;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;281,0341;10;;6;0;0;0;1;3;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;291,0341;10;;6;0;0;0;0;1;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;301,0341;10;;6;0;0;0;0;4;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;311,0341;10;;6;0;0;0;0;0;0;10;0;4;0;0;0;0;0;0;0;0;0;0;0
None;321,0341;10;;5;0;0;0;0;4;0;10;0;5;0;0;0;0;0;0;0;0;0;0;0
None;331,0341;10;;4;0;0;0;1;1;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;341,0341;10;;4;0;0;0;1;3;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;351,0341;10;;4;0;0;0;2;1;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;361,0341;10;;4;0;0;0;1;4;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;371,0341;10;;4;0;0;0;2;1;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;381,0341;10;;4;0;0;0;1;3;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;391,0341;10;;4;0;0;0;1;0;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;401,0341;10;;4;0;0;0;0;4;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;411,0341;10;;4;0;0;0;0;1;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;421,0341;10;;4;0;0;0;1;3;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;431,0341;10;;4;0;0;0;0;0;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;441,0341;10;;4;0;0;0;0;3;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;451,0341;10;;4;0;0;0;0;0;0;10;0;6;0;0;0;0;0;0;0;0;0;0;0
None;461,0341;10;;3;0;0;0;0;4;0;10;0;7;0;0;0;0;0;0;0;0;0;0;0
None;471,0341;10;;3;0;0;0;0;1;0;10;0;7;0;0;0;0;0;0;0;0;0;0;0
None;481,0341;10;;2;0;0;0;0;5;0;10;0;7;1;0;0;0;0;0;0;0;0;0;0
None;491,0341;10;;2;0;0;0;0;2;0;10;0;7;1;0;0;0;0;0;0;0;0;0;0
None;501,0341;10;;2;0;0;0;0;5;0;10;0;7;1;0;0;0;0;0;0;0;0;0;0
None;511,0341;10;;2;0;0;0;0;2;0;10;0;7;1;0;0;0;0;0;0;0;0;0;0
None;521,0341;10;;2;0;0;0;0;4;0;10;0;7;1;0;0;0;0;0;0;0;0;0;0
None;531,0341;10;;2;0;0;0;0;0;0;10;0;7;1;0;0;0;0;0;0;0;0;0;0
None;541,0341;10;;2;0;0;0;0;4;0;10;0;7;1;0;0;0;0;0;0;0;0;0;0
None;551,0341;10;;1;0;0;0;0;1;0;10;0;8;1;0;0;0;0;0;0;0;0;0;0
None;561,0341;10;;1;0;0;0;0;4;0;10;0;8;1;0;0;0;0;0;0;0;0;0;0
None;571,0341;10;;1;0;0;0;1;4;0;10;0;8;1;0;0;0;0;0;0;0;0;0;0
None;581,0341;10;;1;0;0;0;1;5;0;10;0;8;1;0;0;0;0;0;0;0;0;0;0
None;591,0341;10;;1;0;0;0;1;4;0;10;0;8;1;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
None;0;10;;0;0;0;0;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,24609;10;;0;0;0;2;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,61092;10;;1;0;0;1;1;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;31,03404;10;;2;0;0;0;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;41,03404;10;;1;0;0;0;1;5;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;51,03404;10;;1;0;0;0;1;5;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;61,03404;10;;1;0;0;0;1;8;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;71,03404;10;;1;0;0;0;1;6;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;81,03404;10;;1;0;0;0;1;9;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;91,03404;10;;1;0;0;1;3;9;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;101,034;10;;2;0;0;1;1;9;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;111,034;10;;3;0;0;0;1;6;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;121,034;10;;3;0;0;1;3;5;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;131,034;10;;4;0;0;1;1;4;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
