mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,1;10;;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,1324;10;;1;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,52285;10;;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;40,94836;10;;1;0;0;0;2;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;51,28431;10;;1;0;0;0;2;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;61,59674;10;;1;0;0;0;2;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;72,08808;10;;1;0;0;0;2;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;82,08808;10;;1;0;0;0;2;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;92,08808;10;;1;0;0;0;2;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;102,0881;10;;0;0;0;0;2;15;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;112,0881;10;;0;0;0;0;2;15;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;122,0881;10;;0;0;0;0;2;19;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;132,0881;10;;0;0;0;0;1;19;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;142,0881;10;;0;0;0;0;1;22;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;152,5863;10;;0;0;0;0;1;22;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0
None;162,5863;10;;0;0;0;0;1;22;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;172,5863;10;;0;0;0;0;1;22;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;182,5863;10;;0;0;0;0;1;22;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
