mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,1;10;;0;0;0;1;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,46301;10;;1;0;0;0;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,46301;10;;1;0;0;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;40,46301;10;;1;0;0;0;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;50,46301;10;;1;0;0;0;1;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;60,46301;10;;1;0;0;0;1;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;70,46301;10;;1;0;0;0;1;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;80,46301;10;;1;0;0;0;1;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;90,46301;10;;1;0;0;0;1;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;100,463;10;;1;0;0;0;1;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;110,463;10;;1;0;0;0;0;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;120,463;10;;1;0;0;0;0;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;130,463;10;;1;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;140,463;10;;1;0;0;0;0;18;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;150,463;10;;1;0;0;0;0;18;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;160,463;10;;1;0;0;0;0;20;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;170,463;10;;1;0;0;0;0;20;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;180,463;10;;1;0;0;0;0;22;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;190,463;10;;1;0;0;0;0;22;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;200,463;10;;1;0;0;0;0;22;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;210,463;10;;1;0;0;0;0;21;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
