mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,1;10;;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,1858;10;;1;0;0;0;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,32663;10;;1;0;0;0;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;40,32663;10;;1;0;0;0;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;50,32663;10;;1;0;0;0;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;60,32663;10;;1;0;0;0;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;70,32663;10;;1;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;80,32663;10;;1;0;0;0;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;90,32663;10;;1;0;0;0;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;100,3266;10;;1;0;0;0;0;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;110,3266;10;;1;0;0;0;0;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;120,3266;10;;1;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;130,3266;10;;1;0;0;0;0;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;140,3266;10;;1;0;0;0;0;16;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;150,3266;10;;1;0;0;0;0;16;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;160,3266;10;;1;0;0;1;1;19;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;170,3266;10;;2;0;0;0;1;15;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;180,3266;10;;2;0;0;0;1;13;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;190,3266;10;;2;0;0;0;1;13;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;200,3266;10;;2;0;0;0;1;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;210,3266;10;;2;0;0;0;1;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;220,3266;10;;1;0;0;0;1;18;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0
None;230,3266;10;;1;0;0;1;2;17;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0
None;240,3266;10;;2;0;0;0;2;16;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0
None;250,3266;10;;2;0;0;0;2;13;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0
None;260,3266;10;;2;0;0;0;2;16;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0
None;270,3266;10;;2;0;0;0;2;14;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0
None;280,3266;10;;2;0;0;0;2;15;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0
None;290,3266;10;;2;0;0;0;2;14;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0
None;300,3266;10;;2;0;0;0;2;16;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0
None;310,3266;10;;2;0;0;0;2;16;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0
None;320,3266;10;;2;0;0;0;2;17;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0
None;330,3266;10;;2;0;0;0;1;17;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0
None;340,3266;10;;2;0;0;0;1;17;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0
None;350,3266;10;;2;0;0;0;1;16;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0
None;360,3266;10;;2;0;0;0;1;17;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0
None;370,3266;10;;2;0;0;0;1;14;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0
None;380,3266;10;;2;0;0;0;1;15;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0
None;390,3266;10;;2;0;0;0;1;14;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0
None;400,3266;10;;2;0;0;0;1;15;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;410,3266;10;;2;0;0;0;1;15;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;420,3266;10;;2;0;0;0;1;17;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;430,3266;10;;2;0;0;0;0;15;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;440,3266;10;;0;0;0;0;0;19;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;450,3266;10;;0;0;0;0;0;19;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;460,3266;10;;0;0;0;0;0;22;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;470,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;480,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;490,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;500,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;510,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;520,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;530,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;540,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;550,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;560,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;570,3266;10;;0;0;0;0;0;21;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;580,3266;10;;0;0;0;0;0;20;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
None;590,3266;10;;0;0;0;0;0;20;0;10;0;0;0;3;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
None;0;10;;0;0;0;0;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,1;10;;0;0;0;1;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,1858;10;;1;0;0;0;1;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,32663;10;;1;0;0;1;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
