mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,1;10;;0;0;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,52887;10;;1;0;0;1;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,86499;10;;2;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;41,343;10;;2;0;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;51,343;10;;2;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;61,343;10;;2;0;0;0;2;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;71,343;10;;2;0;0;1;6;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;81,343;10;;3;0;0;2;2;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;91,343;10;;5;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;101,343;10;;5;0;0;0;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;111,343;10;;5;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;121,343;10;;5;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;131,343;10;;5;0;0;1;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;141,343;10;;5;0;0;1;1;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;151,343;10;;6;0;0;1;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;161,343;10;;7;0;0;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;171,343;10;;8;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;181,343;10;;8;0;0;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;191,343;10;;8;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;201,343;10;;8;0;0;0;0;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
None;211,343;10;;8;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
None;221,343;10;;8;0;0;0;1;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
None;231,343;10;;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
None;241,343;10;;8;0;0;0;0;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
None;251,343;10;;8;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
None;261,343;10;;8;0;0;0;0;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
None;271,343;10;;8;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
None;281,343;10;;7;0;0;0;0;2;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;291,343;10;;7;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;301,343;10;;7;0;0;0;1;3;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;311,343;10;;7;0;0;0;1;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;321,343;10;;7;0;0;0;0;3;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;331,343;10;;7;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;341,343;10;;7;0;0;0;0;2;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;351,343;10;;7;0;0;0;1;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;361,343;10;;7;0;0;0;0;3;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
None;371,343;10;;7;0;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0
