mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,06264;10;;0;0;0;1;2;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,26119;10;;1;0;0;0;2;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,30319;10;;1;0;0;0;2;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;40,30319;10;;1;0;0;0;2;13;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;50,30319;10;;1;0;0;0;1;16;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;60,30319;10;;1;0;0;0;1;20;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;70,30319;10;;1;0;0;0;1;20;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;80,30319;10;;0;0;0;1;3;22;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;90,30319;10;;1;0;0;1;1;21;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;100,3032;10;;2;0;0;0;1;20;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0
Monster;110,3032;10;;1;0;0;0;1;20;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;120,3032;10;;1;0;0;0;1;20;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;130,3032;10;;1;0;0;0;1;22;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;140,3032;10;;1;0;0;0;1;22;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;150,3032;10;;1;0;0;0;1;22;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;160,3032;10;;1;0;0;0;1;22;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;170,3032;10;;1;0;0;0;1;21;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;180,3032;10;;1;0;0;0;1;21;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;190,3032;10;;0;0;0;0;1;21;0;7;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;200,3032;10;;0;0;0;0;1;21;0;8;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;210,3032;10;;0;0;0;0;1;21;0;9;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;220,3032;10;;0;0;0;0;1;21;0;9;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;230,3032;10;;0;0;0;0;1;21;0;9;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;240,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;250,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;260,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;270,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;280,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;290,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;300,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;310,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;320,3032;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;330,4589;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;340,5401;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;350,5556;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;361,002;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;371,0811;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;381,1513;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;391,1669;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;401,19;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;411,2852;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;421,3158;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;431,3258;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;441,3903;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;451,4264;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;461,4503;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;471,5256;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;481,5939;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;491,5946;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;501,5968;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;511,626;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;521,6531;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;531,699;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;541,7027;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;551,727;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;561,7929;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;571,7986;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;581,8055;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
Monster;591,8221;10;;0;0;0;0;1;21;0;10;0;2;0;1;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
None;0;10;;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,06264;10;;0;0;0;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,26119;10;;1;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,30319;10;;1;0;0;0;2;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;40,30319;10;;1;0;0;0;2;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;50,30319;10;;1;0;0;1;4;15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;60,30319;10;;2;0;0;2;2;13;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;70,30319;10;;3;0;0;1;2;13;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;80,30319;10;;2;1;0;1;3;10;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;90,30319;10;;2;2;0;1;1;11;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0
None;100,3032;10;;2;3;0;1;2;12;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0
None;110,3032;10;;2;4;0;0;2;12;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0
None;120,3032;10;;1;4;0;0;1;12;9;1;0;2;0;0;0;0;0;0;0;0;0;0;0
None;130,3032;10;;1;4;0;0;1;15;9;2;0;2;0;0;0;0;0;0;0;0;0;0;0
None;140,3032;10;;1;4;0;0;0;17;9;3;0;2;0;0;0;0;0;0;0;0;0;0;0
None;150,3032;10;;1;3;0;0;0;21;9;3;0;2;0;0;1;0;0;0;0;0;0;0;0
None;160,3032;10;;0;2;0;0;0;21;9;3;1;2;0;1;2;0;0;0;0;0;0;0;0
None;170,3032;10;;0;1;0;0;0;21;9;4;1;2;0;1;3;0;0;0;0;0;0;0;0
None;180,3032;10;;0;1;0;0;0;20;9;3;1;2;0;1;3;0;0;0;0;0;0;0;0
None;190,3032;10;;0;0;0;0;0;22;9;3;1;2;0;1;4;0;0;0;0;0;0;0;0
None;200,3032;10;;0;0;0;0;0;22;9;3;1;2;0;1;4;0;0;0;0;0;0;0;0
None;210,3032;10;;0;0;0;0;0;22;9;4;1;2;0;1;4;0;0;0;0;0;0;0;0
None;220,3032;10;;0;0;0;0;0;22;9;4;1;2;0;1;4;0;0;0;0;0;0;0;0
None;230,3032;10;;0;0;0;0;0;22;9;5;1;2;0;1;4;0;0;0;0;0;0;0;0
None;240,3032;10;;0;0;0;0;0;21;9;5;1;2;0;1;4;0;0;0;0;0;0;0;0
