mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,1;10;;0;0;0;2;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Monster;20,1;10;;1;0;0;1;1;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Monster;30,56238;10;;0;0;0;0;1;9;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;40,56239;10;;0;0;0;0;1;13;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;50,65265;10;;0;0;0;0;1;16;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;60,72992;10;;0;0;0;0;1;19;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;70,82476;10;;0;0;0;0;1;23;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;80,82476;10;;0;0;0;0;1;23;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;90,82476;10;;0;0;0;0;1;23;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;100,8248;10;;0;0;0;0;1;23;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;110,8248;10;;0;0;0;0;1;23;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;121,3012;10;;0;0;0;0;1;23;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;131,7645;10;;0;0;0;0;1;23;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;142,2531;10;;0;0;0;0;1;23;0;9;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;152,2531;10;;0;0;0;0;1;23;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;162,373;10;;0;0;0;0;1;23;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;172,4079;10;;0;0;0;0;1;23;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0
Monster;182,4296;10;;0;0;0;0;1;23;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0
