mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,2898;10;;0;0;0;1;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,40358;10;;1;0;0;0;1;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,66393;10;;1;0;0;0;1;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;41,11245;10;;1;0;0;0;1;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;51,11245;10;;1;0;0;0;1;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;61,11245;10;;1;0;0;1;3;18;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;71,11246;10;;2;0;0;1;1;19;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;81,11246;10;;3;0;0;0;1;18;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;91,11246;10;;3;0;0;0;1;18;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;101,1125;10;;3;0;0;0;0;21;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;111,1125;10;;3;0;0;0;0;20;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;121,1125;10;;3;0;0;0;0;20;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
None;131,1125;10;;3;0;0;0;0;21;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
None;141,1125;10;;3;0;0;0;0;20;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
None;151,1125;10;;3;0;0;1;1;20;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
None;161,1125;10;;4;0;0;1;3;20;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;171,1125;10;;5;0;0;1;1;14;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;181,1125;10;;6;0;0;1;4;9;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;191,1125;10;;7;0;0;1;2;5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;201,1125;10;;8;0;0;2;9;3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;211,1125;10;;9;1;0;1;6;3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;221,1125;10;;10;1;0;3;2;5;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
