mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,26603;10;;0;0;0;1;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,35685;10;;1;0;0;0;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,50098;10;;1;0;0;0;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;40,85794;10;;1;0;0;0;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;51,32285;10;;1;0;0;0;1;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;61,32285;10;;1;0;0;0;1;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;71,32285;10;;1;0;0;0;1;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;81,32285;10;;1;0;0;0;1;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;91,32285;10;;1;0;0;0;1;10;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;101,3229;10;;1;0;0;0;1;12;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;111,3229;10;;1;0;0;0;1;14;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;121,3229;10;;1;0;0;0;1;13;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;131,3228;10;;1;0;0;0;1;12;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;141,3228;10;;1;0;0;0;1;13;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;151,3228;10;;1;0;0;0;1;15;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;161,3228;10;;1;0;0;0;1;16;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;171,3228;10;;1;0;0;0;1;16;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;181,3228;10;;1;0;0;0;1;16;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;191,3228;10;;1;0;0;0;1;18;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
None;201,3228;10;;1;0;0;0;1;19;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
None;211,3228;10;;1;0;0;0;1;19;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
None;221,3228;10;;1;0;0;0;1;19;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
None;231,3228;10;;1;0;0;0;0;18;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;241,3228;10;;1;0;0;0;0;19;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;251,3228;10;;1;0;0;1;1;19;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;261,3228;10;;2;0;0;0;1;17;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;271,3228;10;;2;0;0;0;1;16;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;281,3228;10;;1;0;0;0;0;15;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;291,3228;10;;1;0;0;0;0;16;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;301,3228;10;;1;0;0;0;0;17;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;311,3228;10;;1;0;0;0;0;18;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;321,3228;10;;1;0;0;0;0;19;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;331,3228;10;;1;0;0;0;0;21;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;341,3228;10;;1;0;0;0;0;20;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;351,3228;10;;1;0;0;0;0;20;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;361,3228;10;;1;0;0;0;0;18;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;371,3228;10;;1;0;0;0;0;18;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;381,3228;10;;1;0;0;0;0;18;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;391,3228;10;;1;0;0;0;0;20;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;401,3228;10;;1;0;0;0;0;20;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;411,3228;10;;1;0;0;0;0;20;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;421,3228;10;;1;0;0;0;0;20;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;431,3228;10;;1;0;0;0;0;20;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;441,3228;10;;1;0;0;0;0;19;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;451,3228;10;;1;0;0;0;0;19;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0
None;461,3228;10;;0;0;0;0;0;20;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;471,3228;10;;0;0;0;0;0;20;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;481,3228;10;;0;0;0;0;0;20;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;491,3228;10;;0;0;0;0;0;20;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;501,3228;10;;0;0;0;0;0;20;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;511,3228;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;521,3229;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;531,3229;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;541,3229;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;551,3229;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;561,3229;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;571,3229;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;581,3229;10;;0;0;0;0;0;21;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
None;591,3229;10;;0;0;0;0;0;20;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
None;0;10;;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
