mayorDeathReson;simulationTime;comfortMax;;collectorsCount;lumberjacksCount;artisansCount;babysCount;warehouseFoodCount;sceneFoodCount;warehouseWoodCount;sceneTreeCount;sceneWoodCount;collectorsDeathByMonster;collectorsDeathByHunger;collectorsDeathByThirst;lumberjacksDeathByMonster;lumberjacksDeathByHunger;lumberjacksDeathByThirst;artisansDeathByMonster;artisansDeathByHunger;artisansDeathByThirst;babysDeathByMonster;babysDeathByHunger;babysDeathByThirst
None;0;10;;0;0;0;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;10,02666;10;;0;0;0;0;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;20,17774;10;;0;0;0;0;3;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;30,26142;10;;0;0;0;0;3;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;40,27218;10;;0;0;0;0;3;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;50,66415;10;;0;0;0;0;3;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;60,66415;10;;0;0;0;0;3;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;70,66415;10;;0;0;0;0;3;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
None;80,66415;10;;0;0;0;0;3;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
None;90,66415;10;;0;0;0;0;3;15;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;100,6641;10;;0;0;0;0;3;17;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;110,6641;10;;0;0;0;0;3;19;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;120,6641;10;;0;0;0;0;3;19;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
None;130,6641;10;;0;0;0;0;3;21;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
None;140,6641;10;;0;0;0;0;3;21;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;150,6641;10;;0;0;0;0;3;21;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;160,6641;10;;0;0;0;0;3;21;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
None;170,6641;10;;0;0;0;0;2;21;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
None;180,6641;10;;0;0;0;0;2;21;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
None;190,6641;10;;0;0;0;0;2;21;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
None;200,6641;10;;0;0;0;0;2;21;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
None;210,6641;10;;0;0;0;0;2;21;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
None;220,6641;10;;0;0;0;0;2;21;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
None;230,6641;10;;0;0;0;0;2;20;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;240,6641;10;;0;0;0;0;2;20;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
None;250,6641;10;;0;0;0;0;2;20;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
